Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views
Ayy Macarena,Ayy Macarena,Tyga,2019-11-13,2703,27.1,417311779,106485,11727622,61.0,325105642,5043313,475505,94185459,1001763796
ELA PIROU NA DODGE RAM,ELA PIROU NA DODGE RAM - Single,Luan Pereira,2023-03-17,2692,27.1,149455007,13028,12083352,17.0,185077693,990325,101800,22395889,272723903
Like What (Freestyle),Like What (Freestyle),Cardi B,2024-03-01,2696,27.1,23475715,2809,14222754,63.50158061116965,21710598,476670,0,3270800,27373700
Party In The U.S.A.,The Time Of Our Lives (International Version),Miley Cyrus,2009-01-01,2695,27.1,1587114096,210519,147125974,76.0,993529828,4526606,428033,49702880,338781002
Wet Dreamz,2014 Forest Hills Drive,J. Cole,2014-12-09,2724,27.0,1244864869,247570,43778928,76.0,280151086,2326991,17325,7247082,49460597
Dhani Ho Sab Dhan,Dhani Ho Sab Dhan,Pawan Singh,2023-01-31,2709,27.0,1332230,592,95570,63.50158061116965,307838128,1528273,4972,162043,2278729
Next Level,Next Level,aespa,2021-05-17,2715,27.0,245384123,26925,9940497,68.0,514192282,6129641,94211,98935007,693149332
Whiskey Glasses,The Way I Talk,Morgan Wallen,2016-07-29,2712,27.0,806728296,86002,17665355,75.0,429423484,1944017,80672,7719684,74890093
Bado Badi,Bado Badi,Chahat Fateh Ali Khan,2024-04-23,2708,27.0,901007,18,713,63.50158061116965,31008582,437421,0,0,0
Esta Vida,Esta Vida - Single,Marshmello,2023-04-13,2719,27.0,94359848,23027,26530704,61.0,66093104,558819,52600,645712,13515544
Dusk Till Dawn - Radio Edit,Dusk Till Dawn (Radio Edit),ZAYN,2017-09-07,2710,27.0,1687683940,177653,44326008,75.0,2784613,49443,0,0,0
Shotta Flow [Remix],Shotta Flow (feat. Blueface) [Remix],NLE Choppa,2019-06-20,2720,27.0,496344788,114433,11312277,21.0,476656319,5123098,12478,3903832,31236119
Bolide allemand,Liens du 100,SDM,2022-12-01,2711,27.0,152546936,33014,4883069,68.0,129655800,510676,97575,4800473,54647905
Amor Tumbado,Mi Nuevo Yo,Natanael Cano,2019-12-24,2706,27.0,413743535,39980,7003058,73.0,420669522,2712590,143494,22305613,152431204
New Gold (feat. Tame Impala and Bootie Brown),New Gold (feat. Tame Impala and Bootie Brown),Gorillaz,2022-08-31,2723,27.0,155399041,62013,13710934,60.0,32481842,684033,21669,11544855,135832597
MANIAC,The 4th Mini Album 'VERSUS',VIVIZ,2023-11-02,2718,27.0,77590300,6575,6127218,63.50158061116965,94172195,738147,3247,22942690,170046435
Don't Mind,EPIC AF,Kent Jones,2016-01-01,2725,27.0,416147244,59100,10161185,59.0,179143462,1567574,6149383,38201187,188910778
Dientes,Dientes,J Balvin,2023-09-15,2721,27.0,38622215,13808,12799845,4.0,16445144,247700,1894,2705205,59118842
Look Alive (feat. Drake),Look Alive (feat. Drake),BlocBoy JB,2018-02-09,2717,27.0,982424606,140455,29753134,63.0,123104265,916112,212758,13785747,172191863
Wake Up! (feat. Juice WRLD),11th Dimension,Ski Mask The Slump God,2024-06-07,2707,27.0,2886460,470,4717544,63.50158061116965,329080,29751,0,0,0
Midnight Rain,Midnights,Taylor Swift,2022-10-21,2714,27.0,658208129,36730,23499391,72.0,83795730,757210,86657,36893385,256300464
"Lagdi Lahore Di (From ""Street Dancer 3D"")","Lagdi Lahore Di (From ""Street Dancer 3D"")",Guru Randhawa,2020-01-15,2713,27.0,112851903,8311,4416840,61.0,540940484,2901887,2918900,17299421,295549159
Boo'd Up,Ella Mai,Ella Mai,2018-10-12,2726,27.0,79783827,9749,2909695,53.0,606083529,3884982,0,0,0
A Mï¿,A Mï¿,Rels B,2019-02-21,2716,27.0,631152992,82632,15285194,76.0,655475553,3056895,154600,53883893,353157722
Buttabomma - Telugu,"Buttabomma (From ""Ala Vaikunthapurramuloo"") - Single",Armaan Malik,2019-12-24,2722,27.0,92120986,8924,2240190,56.0,981723299,6195434,0,16396111,219466261
Burn It Down,Never Enough,Parker McCollum,2023-05-12,2737,26.9,42332727,7018,6690589,65.0,23741737,116972,3495,835693,14014956
Tu Fan,tu fan,mafalda cardenal,2023-05-26,2735,26.9,65670361,8193,4692658,66.0,96035934,736076,608500,55379246,493111688
Whole Lotta Choppas,Whole Lotta Choppas,Sada Baby,2020-08-14,2731,26.9,55312275,16559,2391593,45.0,39808873,574179,5063590,297105838,2188871458
Heartless,808s & Heartbreak (Exclusive Edition),Kanye West,2008-01-01,2738,26.9,1315577954,261770,60550990,79.0,366241783,2719377,164714,32605436,250337316
Galaxy Express,Galaxy Express - Single,D Gerrard,2024-01-05,2732,26.9,20710234,1513,1465628,61.0,89001571,370896,0,0,0
Skate,Skate,Bruno Mars,2021-07-30,2733,26.9,248947222,70726,16159530,63.0,129102965,1676120,1494,372385,5258682
Mercy,Mercy,Shawn Mendes,2016-08-18,2727,26.9,1351515181,114379,33997882,74.0,602907962,5996722,154068,27390411,169125285
Dame Tu Cosita (feat. Cutty Ranks),Dame Tu Cosita,El Chombo,2018-04-15,2729,26.9,47325533,11423,1899926,54.0,585319992,2136542,5161110,484259534,6695334604
Enemy - from the series Arcane League of Legends,Enemy (from the series Arcane League of Legends),Imagine Dragons,2021-10-27,2728,26.9,313209345,57092,6389142,65.0,0,0,33762,17669829,145431218
Dear John,End of the World,Wild Child,2023-03-31,2730,26.9,271785,152,7172,21.0,281209604,1652039,0,0,0
Mount Everest,Mount Everest,Labrinth,2019-06-21,2734,26.9,612159812,128472,33056872,72.0,218832200,3089060,911853,458425066,3490816416
Escï¿½ï¿½n,Escï¿½ï¿½n,ýýengo Flow,2023-08-25,2736,26.9,63748913,11841,9184869,60.0,109386782,532629,13700,438906,4695060
LAISSE MOI,LAISSE MOI,KeBlack,2023-09-08,2743,26.8,76805130,12362,2698463,63.50158061116965,62061765,290394,110539,21137395,261958744
This Is The Life,This Is The Life,LIZOT,2023-10-13,2750,26.8,72773866,23003,14286816,71.0,5868964,68984,0,0,0
Baianï¿,Baianï¿,Bakermat,2019-07-26,2739,26.8,402771910,128641,26735486,73.0,131360082,1357948,386586,71432760,1028129238
Homicide (feat. Eminem),Homicide,Logic,2019-05-03,2751,26.8,526019789,102549,19459269,64.0,272873622,4245401,8436,2207422,21779736
More Than My Hometown,More Than My Hometown,Morgan Wallen,2020-04-17,2755,26.8,503296417,55067,8724047,74.0,198319407,665110,101364,12089070,124574139
Work Out,Work Out,J. Cole,2011-07-04,2740,26.8,955547971,199078,33681550,76.0,310902280,2357811,83230,15376388,130023976
Soltera,ýýpico,Lunay,2019-10-25,2744,26.8,170646969,5488,1084442,47.0,990507015,5312366,0,0,0
Fall In Love Alone,Fall In Love Alone,Stacey Ryan,2022-05-13,2746,26.8,250626750,28158,11808223,66.0,42387613,401947,1724955,158358329,1888735985
Huntinï¿½ï¿½ï¿½ W,Might Delete Later,J. Cole,2024-04-05,2747,26.8,36972292,5914,4824184,63.50158061116965,7753794,139155,0,0,0
Plain Jane,Plain Jane,A$AP Ferg,2017-08-04,2752,26.8,733772721,146447,26777778,65.0,251008598,3281866,1638742,86025556,707393379
ORANGE SODA,ORANGE SODA,Baby Keem,2019-07-16,2745,26.8,676690653,183862,33470385,73.0,69181584,992247,62163,26055931,203414980
Clap For 'Em (feat. Flo Milli & Sada Baby),Clap For 'Em (feat. Flo Milli & Sada Baby),YungManny,2021-03-20,2753,26.8,21634137,6881,1871089,40.0,1198045,19492,4857888,200277564,1553141547
Righteous,Righteous,Juice WRLD,2020-04-24,2749,26.8,553627198,108088,18837961,64.0,293505196,3213599,79391,5994142,43552260
Tï¿½ï¿½ ,Odisea,Ozuna,2017-08-25,2742,26.8,500508660,31360,12078276,68.0,978838486,4506721,774300,14707010,136354987
Casei Com a Putaria,Casei Com a Putaria,Mc Paiva ZS,2022-07-01,2748,26.8,255564797,31242,9239751,63.0,264486017,1523924,46722,23505507,183685728
9mm,Memphis Cult Vol. 6,Memphis Cult,2023-02-23,2754,26.8,157826873,34124,27264746,4.0,33874675,706576,564,43560,587731
SOLO - Live,BLACKPINK 2018 TOUR 'IN YOUR AREA' SEOUL (Live),BLACKPINK,2019-08-30,2741,26.8,6197708,428,185336,26.0,1100441738,18179095,492,63986,421369
Envy Me,Envy Me,Calboy,2018-09-13,2759,26.7,492873992,86600,11849689,58.0,319720084,2660740,844804,132042330,1010801789
DEJA VU,DEJA VU,Luan Santana,2023-12-07,2762,26.7,117285775,5157,14287746,63.50158061116965,74303022,525485,0,0,0
Gï¿½ï¿½r,Gï¿½ï¿½r Bak - Si,Fatih Bulut,2024-03-08,2770,26.7,11315262,557,765288,63.50158061116965,53172804,172426,0,0,0
vendetta!,vendetta!,MUPP,2022-05-20,2773,26.7,317919778,77387,27153082,68.0,51618223,617981,11600,6821906,60936894
Tï¿½ï¿½ OK (Re,Tï¿½ï¿½ OK (Remix) (feat. MC Kevin o Ch,DENNIS,2023-08-03,2775,26.7,112629182,13995,21476863,68.0,45525215,604580,367300,37624994,569736479
I'll Be Waiting,I'll Be Waiting,Cian Ducrot,2022-11-10,2756,26.7,185042019,41058,8054809,62.0,35977202,482490,923,7073614,68670799
Admirin' You (feat. Preston Pablo),Admirin' You (feat. Preston Pablo),Karan Aujla,2023-08-01,2760,26.7,97989585,11146,3310108,63.0,102363097,1045313,0,0,0
Untitled #13,Untitled #13,Glwzbll,2023-04-04,2757,26.7,32244050,12908,2414592,58.0,103148536,1493640,549545,144496419,1579523296
El Belicï¿½,El Belicï¿½,Peso Pluma,2022-02-04,2767,26.7,254275891,27949,5762358,64.0,326775934,1525536,65900,15883571,217432850
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,2024-04-19,2764,26.7,88244010,2659,8584946,63.50158061116965,7381186,96742,5844,1925300,14644000
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2018-12-05,2772,26.7,475881575,74084,11532863,57.0,40942190,516795,11387,3941871,41147911
BANZAI!,BANZAI!,Kazuo,2022-12-24,2769,26.7,118164,91,607,10.0,341971709,1203797,4,2599,20739
One Thing Right,One Thing Right (feat. Kane Brown),Marshmello,2019-06-21,2763,26.7,545011148,69335,15972797,65.0,312775703,3080420,134588,17058045,170167441
Wildest Dreams,1989 (Deluxe),Taylor Swift,2014-01-01,2771,26.7,964058806,102916,33415141,70.0,930982185,5528129,339413,137427132,1025978293
Calling For You (feat. 21 Savage),For All The Dogs,Drake,2023-10-06,2758,26.7,74265576,23221,3122350,63.50158061116965,0,0,0,0,0
Like That,WE DON'T TRUST YOU,Future,2024-03-20,2774,26.7,352623365,932,622889,63.50158061116965,0,0,0,0,0
What About Us,What About Us,P!nk,2017-08-10,2765,26.7,788403596,79260,39889584,70.0,508358793,3107893,38617,22964606,215488504
On The Floor,VTM Kzoom Hits Best Of 2011,Jennifer Lopez,2011-01-01,2768,26.7,456241170,89265,34214641,69.0,2333347395,9971513,341638,171375947,1446146402
Mentalitï¿,EP2,Baby Gang,2022-06-17,2761,26.7,120605300,50347,2257680,66.0,116373773,1063920,316335,18244859,261974228
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,2766,26.7,1569891590,133300,51381606,66.0,384590913,3935031,592538,46194014,530240861
Captain Hook,Suga,Megan Thee Stallion,2020-03-06,2787,26.6,199063354,27343,10046715,59.0,140058306,1231359,2880229,128729922,1039448470
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Djpaoremix,2023-02-03,2792,26.6,134274,70,4970,63.50158061116965,6873380,41796,2100000,20188963,379926509
I'll Be There,I'll Be There,Robin Schulz,2023-10-13,2789,26.6,21067560,4684,9704010,63.50158061116965,8446909,70328,0,253568,3385213
Heavy stunts (with Don Toliver),King tonka,Yeat,2024-05-03,2777,26.6,11680886,2796,4428363,63.50158061116965,0,0,0,0,0
Time Today,Time Today,Moneybagg Yo,2021-02-03,2785,26.6,191071471,61218,9916175,65.0,109977159,1028822,60304,8245826,67883730
Hold Me While You Wait,Hold Me While You Wait,Lewis Capaldi,2019-05-03,2790,26.6,793528511,99106,36201454,70.0,318332999,2522360,191871,22545934,140058016
messy in heaven,messy in heaven,venbee,2022-09-23,2779,26.6,120785398,45503,9878550,59.0,25495861,202181,24429,3729330,64940140
Maquillaje,Maquillaje - Single,Renn,2024-01-10,2776,26.6,71320813,6751,23980309,76.0,42538475,287894,0,760808,7603158
Shiver,Shiver,John Summit,2024-02-14,2788,26.6,30048265,7304,26556055,63.50158061116965,5098200,65463,0,0,0
Novidade na ï¿½ï¿,Novidade na ï¿½ï¿,Mc Livinho,2023-06-23,2794,26.6,191234818,26907,12302377,64.0,67753459,593702,0,0,0
Coming for You (feat. A1 x J1),Coming for You (feat. A1 x J1),SwitchOTR,2021-10-29,2786,26.6,169896142,75491,4711796,56.0,75289061,945215,897591,130156421,1737382885
Toxic Pony,Toxic Pony (feat. Britney Spears & Ginuwine),ALTï¿½ï,2022-01-21,2783,26.6,103232015,33577,15250725,60.0,9695261,155015,2254200,271083554,2866098547
Grey,Grey - Single,Yung Filly,2024-01-26,2780,26.6,48858795,9713,6487656,63.50158061116965,14953162,318976,0,679900,7540800
Aquï¿½ï¿½ A,Aquï¿½ï¿½ A,Christian Nodal,2020-07-10,2791,26.6,423313161,33148,12012992,66.0,597262135,2506019,18138,2257511,35488227
Whistle,Pioneer The Album (Vol.13),Flo Rida,2010-09-27,2784,26.6,814272136,180832,45770125,72.0,731556941,4447478,81387,30075991,257784004
Ceux qu'on ï¿½ï¿½,Ceux qu'on ï¿½ï¿½tait - Si,Pierre Garnier,2024-02-07,2793,26.6,50498801,2884,6002529,70.0,27905696,361990,0,0,0
Apaga El Cel,Apaga El Cel,Calle 24,2023-12-22,2778,26.6,145975016,6115,16399686,82.0,54043783,310905,0,0,0
ýýýýýýýýýýýýýýýýýý - ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý,ýýýýýýýýýýýýýýýýýý (ýýýý ýýýýýýýý ýýýýýýýý ýýýýýý),Ahmed Saad,2023-06-20,2781,26.6,20588020,3465,1820609,58.0,179178650,649493,133700,9283133,274048028
Leave Me Alone,Leave Me Alone,Flipp Dinero,2018-03-14,2782,26.6,651863663,122266,17925064,62.0,364860562,3465425,137815,50621671,318020837
LATTE (feat. Maria Becerra),The Academy: Segunda Misiï¿½,The Academy: Segunda Misiï¿½,2024-03-28,2806,26.5,25813787,3297,10885827,68.0,27340680,205074,0,0,0
Rolling in the Deep - Acapella,Rolling In The Deep,Adele,2011-01-16,2800,26.5,11170019,1580,217023,36.0,2522903197,13159087,0,0,0
In My Head,In My Head,Lil Tjay,2022-04-01,2804,26.5,237061046,82335,8632456,63.0,47378172,923407,374,356522,3442700
Plan A,Plan A,Paulo Londra,2022-03-23,2808,26.5,275416061,45154,6010438,58.0,237452601,5966974,50200,38034415,356327284
GoodSin,Avana - EP,Olivetheboy,2023-04-21,2802,26.5,9513971,1470,136347,63.50158061116965,17460383,97768,1626005,17984432,262199462
Thrift Shop (feat. Wanz),The Heist,Macklemore & Ryan Lewis,2012-10-09,2795,26.5,1226381432,8351,1645328,46.0,1905103664,13003790,0,0,0
River,River,Bishop Briggs,2016-01-22,2805,26.5,547304707,93449,17009946,68.0,566895107,8058632,2927089,432649655,4144883692
Dil Diyan Gallan,Tiger Zinda Hai (Original),Atif Aslam,2017-12-12,2801,26.5,204127666,20958,11366583,65.0,1326806818,7661864,169700,3586828,60784930
Little Bit of Love,Little Bit of Love,Tom Grennan,2021-01-08,2810,26.5,389164529,60436,21604450,62.0,96711789,597354,22228,9869894,82984646
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,2012-01-01,2809,26.5,839642356,110606,35486997,72.0,545463966,4002306,762018,5417399,48882930
Fresh Out The Slammer,THE TORTURED POETS DEPARTMENT,Taylor Swift,2024-04-18,2811,26.5,105424914,2473,7785632,63.50158061116965,7227379,113318,0,348700,2500000
The Real Slim Shady,The Source Hip-Hop Hits Vol. 4,Eminem,2000-01-01,2796,26.5,1798020679,352947,75283550,81.0,961666231,7927293,74682,86740640,771015965
Left and Right (Charlie Puth) [feat. Jung Kook of BTS] - Sped Up Version,Left and Right (Charlie Puth) [feat. Jung Kook of BTS] [Sped Up Version],sped up nightcore,2022-07-18,2807,26.5,3492767,807,484998,27.0,412119147,8660129,122000,1891966,24601626
Save Me,Save Me,Jelly Roll,2020-06-25,2799,26.5,143528699,26295,1211007,65.0,395691039,3870422,115695,13408126,184322890
ýýýýýý,ýýýýýý,SPRITE,2021-04-29,2803,26.5,9126545,2349,139340,41.0,440738171,3204368,1821332,96385707,1185912241
Best For Me,Best For Me,Joyner Lucas,2024-03-18,2798,26.5,18852560,3014,3041643,63.50158061116965,18904500,468752,0,120700,1200000
Ni Me Debes Ni Te Debo,Colmillo De Leche,Carin Leon,2023-05-19,2797,26.5,168963270,9329,6528413,52.0,138646834,561807,83980,6759488,90780465
Ya No Vuelvas,Ya No Vuelvas,Luck Ra,2022-08-09,2816,26.4,28739240,4519,1778008,51.0,378611518,826925,43939,2316894,26531589
Scared To Be Lonely,Dua Lipa (Complete Edition),Martin Garrix,2015-01-01,2815,26.4,1254883107,131909,46601399,73.0,995579933,7131931,121770,12363862,113741661
Un Aï¿½,Un Aï¿½,Sebastian Yatra,2019-01-18,2819,26.4,573290850,44972,20961958,67.0,830580317,5534299,314552,17545978,164663552
21,THE GOAT,Polo G,2020-05-15,2814,26.4,500766243,134529,11500707,67.0,161831915,1890192,62100,5844781,22513039
I Gotta Feeling,The E.N.D. (The Energy Never Dies),Black Eyed Peas,2009-01-01,2817,26.4,1423655688,306620,108479481,76.0,190741649,1734831,498488,96154828,680999560
NOSTYLIST,NO STYLIST,Destroy Lonely,2022-08-12,2818,26.4,100973437,55772,4769511,63.0,14289584,264058,153000,72100628,552255188
Respect (2021 Remaster),The Genius of Aretha Franklin,Aretha Franklin,2021-02-19,2812,26.4,607726217,158,18327,20.0,0,0,0,0,0
SO DONE,SO DONE,The Kid LAROI,2020-10-23,2820,26.4,428787524,95178,8705363,62.0,63666862,1060419,39225,15383747,116127311
The Boat Beat,The Boat Beat,Ricky Desktop,2020-05-12,2813,26.4,13847072,3177,474041,33.0,8068836,219118,6220932,241086839,3081391270
No Es Justo,No Es Justo,J Balvin,2018-05-11,2835,26.3,580941059,55176,15983158,64.0,965441155,3017656,14706,1960151,19928111
New Jeans,NewJeans 'Super Shy',NewJeans,2023-07-07,2840,26.3,253890110,22593,5131270,73.0,32342210,1238077,93504,33300089,242425753
Cat Partying (TikTok Sped Up) - Remix,Cat Partying (TikTok Sped Up) [Remix],Music Factory,2023-03-20,2826,26.3,2368578,1128,61944,63.50158061116965,0,0,1900000,12239089,196993859
WANNABE,IT'z ME,ITZY,2020-03-09,2825,26.3,365845397,29751,5840656,66.0,731488947,8414274,116880,56690917,362463277
Yï¿½ï¿½reï¿½ï¿½i,Yï¿½ï¿½reï¿½ï¿½i,Amo988,2023-09-15,2841,26.3,75979813,7579,4760968,68.0,104439157,350883,33300,3921299,60449279
No Angels,Everything I Thought It Was,Justin Timberlake,2024-03-14,2839,26.3,11092257,1607,7250700,63.50158061116965,0,0,0,0,0
Champagne Poetry,Certified Lover Boy,Drake,2021-09-03,2836,26.3,308396120,99705,14089454,66.0,63664549,669096,258830,147816112,1204022719
Imitadora,Imitadora,Romeo Santos,2017-06-23,2823,26.3,503904686,47427,13586022,73.0,1009029328,4103220,318412,137583052,979585978
ýýýýýýýýýýýýýý,ýýýýýýýýýýýýýý - Single,Akris & Teddy,2024-05-31,2828,26.3,306040,1,13,15.0,0,0,0,0,0
20 Min,Luv Is Rage 2 (Deluxe),Lil Uzi Vert,2017-11-17,2830,26.3,1006734157,224587,27766092,77.0,106339744,850717,43585,19855293,144628943
Om Jai Jagdish Hare,The Bhajan Project 2,Shivali,2023-02-16,2824,26.3,8313,7,75,8.0,314513125,1120176,0,0,0
Ya No Tiene Novio,Ya No Tiene Novio,Sebastian Yatra,2018-08-10,2834,26.3,431529832,32115,14298721,63.0,1077954732,4083486,73016,6785915,43241693
Your Power,Your Power,Billie Eilish,2021-04-29,2838,26.3,423439672,79149,22567177,68.0,170437339,4244477,124714,54016040,347631092
Bling Bling,Bling Bling - Single,Grupo Marca Registrada,2023-11-27,2837,26.3,96383243,10187,4406109,63.50158061116965,51056879,376116,0,596994,4336957
PERO Tï¿,PERO Tï¿,KAROL G,2023-02-23,2827,26.3,212911684,22815,8668393,71.0,106041009,588756,215518,9084718,131834580
N'y pense plus,N'y pense plus,Tayc,2020-06-19,2833,26.3,177952382,60714,3538535,63.0,217526800,1861229,1855774,227091507,2758905591
Body,Good News,Megan Thee Stallion,2020-11-20,2831,26.3,327693363,59033,19679788,63.0,215966337,3070939,1180141,371525726,2873316705
Where You Are,Where You Are,John Summit,2023-03-03,2822,26.3,123058600,41625,65080812,71.0,15090329,160292,12651,2501719,30233661
Scream & Shout,Scream & Shout,will.i.am,2012-11-20,2821,26.3,767661283,177756,49961171,72.0,1211548500,6168792,139644,110048740,838554125
bigger thï¿½ï¿½n everyt,bigger thï¿½ï¿½n everyt,Yeat,2023-08-10,2832,26.3,48790265,26044,5580526,59.0,11963045,259674,0,239969,2309009
Princess Diana (with Nicki Minaj),Princess Diana (with Nicki Minaj),Ice Spice,2023-04-14,2829,26.3,220270601,34862,34947789,67.0,32354134,356483,219907,98324852,905030524
This Is Me,This Is Me,Keala Settle,2017-10-27,2852,26.2,809894358,80591,19776253,66.0,622964718,4716659,18442,1528788,16464069
QUE PRETENDES,OASIS,J Balvin,2019-06-28,2849,26.2,806817589,85661,29532086,71.0,489443301,2894907,31430,21776640,131482347
The Chicken Wing Beat,The Chicken Wing Beat,Ricky Desktop,2020-06-13,2842,26.2,68033539,13060,1293542,60.0,88796716,1038952,4890413,206433932,2164370742
Nï¿½ï¿½o Vou Nam,Nï¿½ï¿½o Vou Nam,DJ Ws da Igrejinha,2024-01-19,2850,26.2,73192291,7800,40120103,79.0,34522299,269890,0,0,0
Rim Tim Tagi Dim,Rim Tim Tagi Dim,Baby Lasagna,2024-01-12,2848,26.2,34926866,4003,4119043,75.0,50347276,837359,10600,0,0
Baila Baila Baila,Baila Baila Baila,Ozuna,2019-01-05,2845,26.2,563326343,71108,14798709,64.0,619678799,3452638,106538,2189375,13221298
Ms. Jackson,Ms. Jackson,Pashanim,2023-08-24,2847,26.2,91200208,31859,7752540,69.0,9615800,108288,1020,502312,4482394
Sï¿½ï¿½PER ULTRA ,Sï¿½ï¿½PER ULTRA ,Picus,2023-04-15,2844,26.2,14167450,963,227636,56.0,246398948,1783107,0,10206545,145453664
Happier (feat. Clementine Douglas),Happier (feat. Clementine Douglas) - Single,The Blessed Madonna,2024-02-02,2846,26.2,30812151,5012,42546998,71.0,4200741,25745,0,0,0
Sin Tanto Royo,Sin Tanto Royo,Luis R Conriquez,2023-10-20,2853,26.2,92158242,10988,6195525,63.50158061116965,73651632,328795,363,134310,1349277
Psycho,ýýýThe ReVe Festivalýýý Finale,Red Velvet,2019-12-23,2851,26.2,471042668,37370,8743783,66.0,716847469,9852754,46801,34695574,222663523
Rhyme Dust,Rhyme Dust,MK,2023-02-24,2843,26.2,116992202,44035,62486297,65.0,7745796,95181,12594,8695476,92238960
Tu Foto,Tu Foto,Q' Lokura,2024-05-16,2869,26.1,9244547,925,8931821,69.0,12781421,82897,0,0,0
Loco,Loco,Justin Quiles,2021-05-13,2864,26.1,417078369,80390,22262789,61.0,22493718,150440,779826,109132088,1310854382
Siempre Pendientes,Siempre Pendientes,Peso Pluma,2022-08-15,2865,26.1,395739041,34865,14461323,69.0,115349777,497323,256000,27864309,347269682
LALALI,SEVENTEEN BEST ALBUM '17 IS RIGHT HERE',SEVENTEEN,2024-04-29,2858,26.1,11282322,625,1779055,63.50158061116965,23217618,887493,0,2229,22700
Slut Me Out,Slut Me Out - Single,NLE Choppa,2022-04-15,2867,26.1,346862697,72540,23493477,67.0,28725574,481537,60398,29004515,186623555
Real Love,Real Love,Martin Garrix,2023-09-22,2859,26.1,23089149,7090,14537779,63.50158061116965,1508079,15100,700500,9061381,160449801
A Tu Merced,YHLQMDLG,Bad Bunny,2020-02-29,2856,26.1,778269101,94041,20880365,70.0,357643934,1517496,80500,42847884,287886349
Cake By The Ocean,Pop Music Best Hit 2012-16's VOL18,DNCE,2012-01-01,2863,26.1,1623436416,181003,87263572,76.0,205204907,2069073,563713,55758553,345185931
Exchange,T R A P S O U L,Bryson Tiller,2015-10-02,2857,26.1,989672356,135409,50477248,76.0,713521813,4429142,245277,12247275,71925380
Wasted Love (feat. Lagique),Wasted Love (feat. Lagique),Ofenbach,2021-01-08,2868,26.1,385903701,66419,24104595,61.0,67488485,440351,728654,53819526,771965593
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,2018-06-01,2862,26.1,572628080,58161,18234682,79.0,358325972,1376330,48738,6199392,45145253
Y Si Se Quiere Ir,Y Si Se Quiere Ir,"Luis Angel ""El Flaco""",2021-11-19,2866,26.1,110244949,10233,6570771,39.0,442934526,1510804,2407,864180,12667235
Camelot,Camelot,NLE Choppa,2019-09-13,2854,26.1,537163250,117513,15086606,69.0,299438117,2767933,115957,6757364,45616164
Stuck In The Middle,Stuck in the Middle,Tai Verdes,2020-05-29,2861,26.1,143421888,46095,5506539,54.0,23355896,429911,4300313,895618190,6940732133
Step Back!,Step Back!,1nonly,2022-09-02,2860,26.1,166436749,48250,16940138,68.0,49886904,632581,58547,24932289,219657145
ýýýýýý,ýýýýýý,YOASOBI,2021-01-06,2855,26.1,311307250,48587,6777195,61.0,460930832,3166818,73300,18691633,275649626
UK Rap,Split Decision,Dave,2023-06-04,2882,26.0,107742416,42998,15708278,67.0,11323598,134265,0,68,921
Yugur,Yugur - Single,Dildora Niyozova,2024-02-21,2886,26.0,17009,6,20,63.50158061116965,66083451,231545,0,0,0
Mi Cama,Mi Cama,KAROL G,2018-05-11,2881,26.0,224367887,21036,7372736,57.0,1159610485,6061105,136001,8220385,99044675
Always This Same Old Song,Better Lucky Than Beautiful,Bingo Club,2023-02-24,2879,26.0,84198,27,527,15.0,295297180,0,0,0,0
True Love,True Love,Kanye West,2022-05-27,2884,26.0,269363579,84173,16979097,70.0,3464827,61192,162,39781,139748
La Triple T,La Triple T,TINI,2022-05-05,2877,26.0,265244748,27965,12696928,58.0,219911011,1029281,439688,63221453,837142924
Car's Outside,YOU,James Arthur,2019-10-18,2876,26.0,578464780,64098,29245701,76.0,99386903,1089785,3170207,482763087,3957426996
Northern Attitude (with Hozier),Northern Attitude (with Hozier),Noah Kahan,2023-11-10,2874,26.0,269280631,16841,7676990,63.50158061116965,4294607,37332,0,0,0
Paradise,Mylo Xyloto,Coldplay,2011-10-19,2873,26.0,1291954163,205567,85747045,77.0,325509002,2163945,755099,119567231,1016743063
Devil Doesnï¿½ï¿½ï¿½t B,(Un)Commentary,Alec Benjamin,2022-04-15,2888,26.0,203417763,41522,3635691,66.0,69712050,939096,624819,85472081,686244417
Vamos Aclarando Muchas Cosas - En Vivo,Vamos Aclarando Muchas Cosas (En Vivo),Codiciado,2022-09-02,2887,26.0,145135597,15952,3101333,65.0,226936682,537097,235860,10955274,181357126
